methodName,description,governingBody,units,modification
ASTM 2216,Moisture Content ,,,
ASTM D4318,Atterberg Limits ,,,
ASTM D422,Hydrometer,,,
ASTM D2850,Unconsolidated Undrained Triaxial Compression Test ,,,
ASTM D4767,Consolidated Undrained Triaxial Compression Test ,,,
ASTM D2166,Unconfined Compressive Strength of Soil ,,,
ASTM D2435,Consolidation Test ,,,
ASTM D3080,Direct Shear ,,,
ASTM D5084,Falling Head Permeability ,,,
ASTM D2434,Constant Head Permeability ,,,
VTM-8,California Bearing Ratio ,,,
